line;number;station;line_shape;open_date;close_date
Сокольническая;1;Бульвар Рокоссовского;line;01.08.1990;01.01.5555
Сокольническая;2;Черкизовская;line;01.08.1990;01.01.5555
Сокольническая;3;Преображенская площадь;line;31.12.1965;01.01.5555
Сокольническая;4;Сокольники;line;15.05.1935;01.01.5555
Сокольническая;5;Красносельская;line;15.05.1935;01.01.5555
Сокольническая;6;Комсомольская;line;15.05.1935;01.01.5555
Сокольническая;7;Красные Ворота;line;15.05.1935;01.01.5555
Сокольническая;8;Чистые пруды;line;15.05.1935;01.01.5555
Сокольническая;9;Лубянка;line;15.05.1935;01.01.5555
Сокольническая;10;Охотный Ряд;line;15.05.1935;01.01.5555
Сокольническая;11;Библиотека имени Ленина;line;15.05.1935;01.01.5555
Сокольническая;12;Кропоткинская;line;15.05.1935;01.01.5555
Сокольническая;13;Парк культуры;line;15.05.1935;01.01.5555
Сокольническая;14;Фрунзенская;line;01.05.1947;01.01.5555
Сокольническая;15;Спортивная;line;01.05.1947;01.01.5555
Сокольническая;16;Воробьёвы горы;line;12.01.1959;01.01.5555
Сокольническая;17;Университет;line;12.01.1959;01.01.5555
Сокольническая;18;Проспект Вернадского;line;30.12.1963;01.01.5555
Сокольническая;19;Юго-Западная;line;30.12.1963;01.01.5555
Сокольническая;20;Тропарёво;line;08.12.2014;01.01.5555
Сокольническая;21;Румянцево;line;18.01.2016;01.01.5555
Сокольническая;22;Саларьево;line;15.02.2016;01.01.5555
Сокольническая;23;Филатов Луг;line;20.05.2019;01.01.5555
Сокольническая;24;Прокшино;line;20.05.2019;01.01.5555
Сокольническая;25;Ольховая;line;20.05.2019;01.01.5555
Сокольническая;26;Коммунарка;line;20.05.2019;01.01.5555
Замоскворецкая;1;Ховрино;line;31.12.2017;01.01.5555
Замоскворецкая;2;Беломорская;line;20.12.2018;01.01.5555
Замоскворецкая;3;Речной вокзал;line;31.12.1964;01.01.5555
Замоскворецкая;4;Водный стадион;line;31.12.1964;01.01.5555
Замоскворецкая;5;Войковская;line;31.12.1964;01.01.5555
Замоскворецкая;6;Сокол;line;11.09.1938;01.01.5555
Замоскворецкая;7;Аэропорт;line;11.09.1938;01.01.5555
Замоскворецкая;8;Динамо;line;11.09.1938;01.01.5555
Замоскворецкая;9;Белорусская;line;11.09.1938;01.01.5555
Замоскворецкая;10;Маяковская;line;11.09.1938;01.01.5555
Замоскворецкая;11;Тверская;line;20.07.1979;01.01.5555
Замоскворецкая;12;Театральная;line;11.09.1938;01.01.5555
Замоскворецкая;13;Новокузнецкая;line;20.11.1943;01.01.5555
Замоскворецкая;14;Павелецкая;line;20.11.1943;01.01.5555
Замоскворецкая;15;Автозаводская;line;01.01.1943;01.01.5555
Замоскворецкая;16;Технопарк;line;28.12.2015;01.01.5555
Замоскворецкая;17;Коломенская;line;11.08.1969;01.01.5555
