line;number;station;line_shape;open_date;close_date
Белорусское;1;Белорусский вокзал;line;11.09.1983;01.01.5555
Белорусское;2;Беговая;line;01.01.1949;01.01.5555
Белорусское;3;Тестовская;line;01.01.1927;01.01.5555
Белорусское;4;Фили;line;01.01.1902;01.01.5555
Белорусское;5;Славянский бульвар;line;29.06.2020;01.01.5555
Белорусское;6;Кунцевская;line;01.01.1874;01.01.5555
Белорусское;7;Рабочий Поселок;line;01.01.1951;01.01.5555
Белорусское:1;1;Рабочий Поселок;line;01.01.1951;01.01.5555
Белорусское:1;2;Ромашково;line;01.01.1923;01.01.5555
Белорусское:1;3;Раздоры;line;01.01.1927;01.01.5555
Белорусское:1;4;Барвиха;line;01.01.1927;01.01.5555
Белорусское:1;5;Ильинское;line;01.01.1927;01.01.5555
Белорусское:1;6;Усово;line;01.01.1927;01.01.5555
Белорусское:2;1;Рабочий Поселок;line;01.01.1951;01.01.5555
Белорусское:2;2;Сетунь;line;01.01.1932;01.01.5555
Белорусское:2;3;Немчиновка;line;20.05.1875;01.01.5555
Белорусское:2;4;Сколково;line;27.05.2019;01.01.5555
Белорусское:2;5;Баковка;line;01.01.1894;01.01.5555
Белорусское:2;6;Одинцово;line;01.01.1870;01.01.5555
Белорусское:2;7;Отрадное;line;01.01.1959;01.01.5555
Белорусское:2;8;Пионерская;line;01.01.1909;01.01.5555
Белорусское:2;9;Перхушково;line;01.01.1909;01.01.5555
Белорусское:2;10;Здравница;line;01.01.1916;01.01.5555
Белорусское:2;11;Жаворонки;line;01.01.1866;01.01.5555
Белорусское:2;12;Дачное;line;01.01.1951;01.01.5555
Белорусское:2;13;Малые Вяземы;line;01.01.1929;01.01.5555
Белорусское:2;14;Голицыно;line;01.01.1870;01.01.5555
Белорусское:2:1;1;Голицыно;line;01.01.1870;01.01.5555
Белорусское:2:1;2;Захарово;line;01.01.1933;01.01.5555
Белорусское:2:1;3;Хлюпино;line;01.01.1926;01.01.5555
Белорусское:2:1;4;Скоротово;line;01.01.1951;01.01.5555
Белорусское:2:1;5;Звенигород;line;01.01.1925;01.01.5555
Белорусское:2:2;1;Голицыно;line;01.01.1870;01.01.5555
Белорусское:2:2;2;Сушинская;line;01.01.1899;01.01.5555
Белорусское:2:2;3;Петелино;line;01.01.1932;01.01.5555
Белорусское:2:2;4;Часцовская;line;01.01.1913;01.01.5555
Белорусское:2:2;5;Портновская;line;01.01.1926;01.01.5555
Белорусское:2:2;6;Кубинка-1;line;01.01.1870;01.01.5555
Белорусское:2:2;7;Чапаевка;line;01.01.1964;01.01.5555
Белорусское:2:2;8;Полушкино;line;01.01.1929;01.01.5555
Белорусское:2:2;9;Санаторная;line;01.01.1964;01.01.5555
Белорусское:2:2;10;Тучково;line;01.01.1874;01.01.5555
Белорусское:2:2;11;Театральная;line;01.01.1909;01.01.5555
Белорусское:2:2;12;Садовая;line;01.01.1961;01.01.5555
Белорусское:2:2;13;Дорохово;line;01.01.1874;01.01.5555
Белорусское:2:2;14;Партизанская;line;01.01.1964;01.01.5555
Белорусское:2:2;15;Шаликово;line;01.01.1874;01.01.5555
Белорусское:2:2;16;Кукаринская;line;01.01.1929;01.01.5555
Белорусское:2:2;17;109 км;line;01.01.1992;01.01.5555
Белорусское:2:2;18;Можайск;line;01.01.1870;01.01.5555
Белорусское:2:2;19;Бородино;line;01.01.1870;01.01.5555
Горьковское;1;Курский вокзал;line;01.01.1886;01.01.5555
Горьковское;2;Серп и Молот;line;01.01.1936;01.01.5555
Горьковское;3;Нижегородская;line;01.01.1861;01.01.5555
Горьковское;4;Чухлинка;line;01.01.1897;01.01.5555
Горьковское;5;Кусково;line;01.01.1861;01.01.5555
Горьковское;6;Новогиреево;line;01.01.1908;01.01.5555
Горьковское;7;Реутово;line;01.01.1897;01.01.5555
Горьковское:1;1;Реутово;line;01.01.1897;01.01.5555
Горьковское:1;2;Стройка;line;01.01.1935;01.01.5555
Горьковское:1;3;Горенки;line;01.01.1935;01.01.5555
Горьковское:1;4;Балашиха;line;01.01.1912;01.01.5555
Горьковское:2;1;Реутово;line;01.01.1897;01.01.5555
Горьковское:2;2;Никольское;line;01.01.1908;01.01.5555
Горьковское:2;3;Салтыковская;line;01.01.1894;01.01.5555
Горьковское:2;4;Кучино;line;01.01.1898;01.01.5555
Горьковское:2;5;Железнодорожная;line;01.01.1861;01.01.5555
Горьковское:2;6;Черное;line;01.01.1929;01.01.5555
Горьковское:2;7;Заря;line;01.04.1995;01.01.5555
Горьковское:2;8;Купавна;line;01.01.1898;01.01.5555
Горьковское:2;9;33 км;line;01.01.1943;01.01.5555
Горьковское:2;10;Электроугли;line;01.01.1861;01.01.5555
