src_line;src_number;;dest_line;dest_number;;type
Филевская;4;;Филевская:1;1;;metro
Филевская;4;;Филевская:2;1;;metro
Большая кольцевая;4;;Большая кольцевая:1;1;;metro
Сокольническая;1;;Московское центральное кольцо;6;;metro-metro
Сокольническая;2;;Московское центральное кольцо;7;;metro-metro
Сокольническая;6;;Кольцевая;7;;metro-metro
Сокольническая;8;;Калужско-Рижская;10;;metro-metro
Сокольническая;8;;Люблинско-Дмитровская;10;;metro-metro
Сокольническая;9;;Таганско-Краснопресненская;12;;metro-metro
Сокольническая;10;;Люблинско-Дмитровская;12;;metro-metro
Сокольническая;10;;Арбатско-Покровская;14;;metro-metro
Сокольническая;11;;Арбатско-Покровская;13;;metro-metro
Сокольническая;11;;Филевская;1;;metro-metro
Сокольническая;11;;Серпуховско-Тимирязевская;12;;metro-metro
Сокольническая;13;;Кольцевая;1;;metro-metro
Сокольническая;15;;Московское центральное кольцо;21;;metro-metro
Сокольническая;18;;Большая кольцевая;12;;metro-metro
Замоскворецкая;5;;Московское центральное кольцо;29;;metro-metro
Замоскворецкая;5;;Московское центральное кольцо;28;;metro-metro
Замоскворецкая;8;;Большая кольцевая;2;;metro-metro
Замоскворецкая;9;;Кольцевая;10;;metro-metro
Замоскворецкая;11;;Таганско-Краснопресненская;11;;metro-metro
Замоскворецкая;11;;Серпуховско-Тимирязевская;11;;metro-metro
Замоскворецкая;12;;Арбатско-Покровская;14;;metro-metro
Замоскворецкая;13;;Калужско-Рижская;12;;metro-metro
Замоскворецкая;13;;Калининская;1;;metro-metro
Замоскворецкая;14;;Кольцевая;4;;metro-metro
Замоскворецкая;15;;Московское центральное кольцо;16;;metro-metro
Замоскворецкая;18;;Большая кольцевая;18;;metro-metro
Замоскворецкая;23;;Люблинско-Дмитровская;23;;metro-metro
Арбатско-Покровская;8;;Филевская:2;8;;metro-metro
Арбатско-Покровская;8;;Большая кольцевая;8;;metro-metro
Арбатско-Покровская;10;;Солнцевская;11;;metro-metro
Арбатско-Покровская;11;;Филевская;4;;metro-metro
Арбатско-Покровская;11;;Филевская:1;1;;metro-metro
Арбатско-Покровская;11;;Филевская:2;1;;metro-metro
Арбатско-Покровская;11;;Кольцевая;12;;metro-metro
Арбатско-Покровская;13;;Филевская;1;;metro-metro
Арбатско-Покровская;13;;Серпуховско-Тимирязевская;12;;metro-metro
Арбатско-Покровская;15;;Кольцевая;6;;metro-metro
Арбатско-Покровская;15;;Люблинско-Дмитровская;11;;metro-metro
Арбатско-Покровская;17;;Некрасовская линия;1;;metro-metro
Арбатско-Покровская;19;;Московское центральное кольцо;8;;metro-metro
Филевская:2;8;;Большая кольцевая;8;;metro-metro
Филевская:2;3;;Московское центральное кольцо;22;;metro-metro
Филевская:1;3;;Московское центральное кольцо;23;;metro-metro
Филевская:1;2;;Солнцевская;12;;metro-metro
Филевская:1;2;;Большая кольцевая:1;3;;metro-metro
Филевская;4;;Кольцевая;12;;metro-metro
Филевская:1;1;;Кольцевая;12;;metro-metro
Филевская:2;1;;Кольцевая;12;;metro-metro
Филевская;1;;Серпуховско-Тимирязевская;12;;metro-metro
Кольцевая;2;;Калужско-Рижская;13;;metro-metro
Кольцевая;3;;Серпуховско-Тимирязевская;14;;metro-metro
Кольцевая;5;;Таганско-Краснопресненская;14;;metro-metro
Кольцевая;5;;Калининская;2;;metro-metro
Кольцевая;6;;Люблинско-Дмитровская;11;;metro-metro
Кольцевая;8;;Калужско-Рижская;8;;metro-metro
Кольцевая;9;;Серпуховско-Тимирязевская;9;;metro-metro
Кольцевая;11;;Таганско-Краснопресненская;10;;metro-metro
Калужско-Рижская;4;;Московское центральное кольцо;3;;metro-metro
Калужско-Рижская;10;;Люблинско-Дмитровская;10;;metro-metro
Калужско-Рижская;11;;Таганско-Краснопресненская;13;;metro-metro
Калужско-Рижская;12;;Калининская;1;;metro-metro
Калужско-Рижская;15;;Московское центральное кольцо;20;;metro-metro
Калужско-Рижская;19;;Большая кольцевая;14;;metro-metro
Калужско-Рижская;24;;Бутовская;1;;metro-metro
Таганско-Краснопресненская;6;;Московское центральное кольцо;26;;metro-metro
Таганско-Краснопресненская;6;;Московское центральное кольцо;27;;metro-metro
Таганско-Краснопресненская;7;;Московское центральное кольцо;25;;metro-metro
Таганско-Краснопресненская;7;;Большая кольцевая;4;;metro-metro
Таганско-Краснопресненская;7;;Большая кольцевая:1;1;;metro-metro
Таганско-Краснопресненская;11;;Серпуховско-Тимирязевская;11;;metro-metro
Таганско-Краснопресненская;14;;Калининская;2;;metro-metro
Таганско-Краснопресненская;15;;Люблинско-Дмитровская;13;;metro-metro
Таганско-Краснопресненская;16;;Московское центральное кольцо;14;;metro-metro
Таганско-Краснопресненская;21;;Некрасовская линия;8;;metro-metro
Калининская;3;;Люблинско-Дмитровская;12;;metro-metro
Калининская;4;;Некрасовская линия;3;;metro-metro
Калининская;5;;Московское центральное кольцо;10;;metro-metro
Солнцевская;7;;Большая кольцевая;11;;metro-metro
Солнцевская;12;;Большая кольцевая:1;3;;metro-metro
Серпуховско-Тимирязевская;4;;Московское центральное кольцо;2;;metro-metro
Серпуховско-Тимирязевская;5;;Люблинско-Дмитровская;4;;metro-metro
Серпуховско-Тимирязевская;8;;Большая кольцевая;1;;metro-metro
Серпуховско-Тимирязевская;10;;Люблинско-Дмитровская;9;;metro-metro
Серпуховско-Тимирязевская;16;;Московское центральное кольцо;18;;metro-metro
Серпуховско-Тимирязевская;19;;Большая кольцевая;16;;metro-metro
Серпуховско-Тимирязевская;25;;Бутовская;3;;metro-metro
Люблинско-Дмитровская;3;;Московское центральное кольцо;1;;metro-metro
Люблинско-Дмитровская;14;;Московское центральное кольцо;15;;metro-metro
Люблинско-Дмитровская;15;;Московское центральное кольцо;15;;metro-metro
Большая кольцевая:1;2;;Московское центральное кольцо;24;;metro-metro
